,Condition,genes,Method,replicate,Step,time_s,mem_gb
332,1000,1000,TreePL+CASTLES-Pro,7,Branch length estimation,49.38,2.578572
333,1000,1000,TreePL+CASTLES-Pro,7,Dating,27.76,0.030532
334,1000,1000,TreePL+CASTLES-Pro,8,Branch length estimation,31.4,2.577628
335,1000,1000,TreePL+CASTLES-Pro,8,Dating,24.98,0.0293
336,1000,1000,TreePL+CASTLES-Pro,9,Branch length estimation,50.81,2.57774
337,1000,1000,TreePL+CASTLES-Pro,9,Dating,27.19,0.031308
338,1000,1000,TreePL+CASTLES-Pro,10,Branch length estimation,41.11,2.5768
339,1000,1000,TreePL+CASTLES-Pro,10,Dating,16.5,0.029664
340,1000,1000,TreePL+CASTLES-Pro,11,Branch length estimation,34.9,2.577136
341,1000,1000,TreePL+CASTLES-Pro,11,Dating,26.46,0.031212
342,1000,1000,TreePL+CASTLES-Pro,12,Branch length estimation,34.96,2.577364
343,1000,1000,TreePL+CASTLES-Pro,12,Dating,40.11,0.032112
344,1000,1000,TreePL+CASTLES-Pro,13,Branch length estimation,34.89,2.577892
345,1000,1000,TreePL+CASTLES-Pro,13,Dating,16.18,0.028528
346,1000,1000,TreePL+CASTLES-Pro,14,Branch length estimation,47.03,2.579192
347,1000,1000,TreePL+CASTLES-Pro,14,Dating,28.78,0.028492
348,1000,1000,TreePL+CASTLES-Pro,15,Branch length estimation,35.33,2.5783
349,1000,1000,TreePL+CASTLES-Pro,15,Dating,14.23,0.02854
350,1000,1000,TreePL+CASTLES-Pro,16,Branch length estimation,37.73,2.57678
351,1000,1000,TreePL+CASTLES-Pro,16,Dating,12.13,0.029756
352,1000,1000,TreePL+CASTLES-Pro,17,Branch length estimation,36.47,2.57694
353,1000,1000,TreePL+CASTLES-Pro,17,Dating,22.09,0.029272
354,1000,1000,TreePL+CASTLES-Pro,18,Branch length estimation,39.47,2.576668
355,1000,1000,TreePL+CASTLES-Pro,18,Dating,22.02,0.02994
356,1000,1000,TreePL+CASTLES-Pro,19,Branch length estimation,67.17,2.576904
357,1000,1000,TreePL+CASTLES-Pro,19,Dating,35.54,0.029116
358,1000,1000,TreePL+CASTLES-Pro,20,Branch length estimation,39.97,2.576816
359,1000,1000,TreePL+CASTLES-Pro,20,Dating,11.42,0.028628
