,Calibrations,Condition,Outgroup,Method,replicate,l-true,l-est
3745,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,46,0.3458440477225414,0.36292066027411624
3746,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,47,0.32916482855311785,0.3536353883448145
3747,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,48,0.41064340273725336,0.4236784763493502
3748,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,49,0.33625173960970406,0.39456071789363534
3749,10,fasttree_genetrees_800_non,False,wLogDate+CASTLES-Pro,50,0.338845813035953,0.35258993522520865
3750,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),01,0.2869735097914402,0.2885267006348694
3751,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),02,0.3517386576590759,0.2936012861650984
3752,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),03,0.3991487354398542,0.316992204530029
3753,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),04,0.3394295652522153,0.2671168319684641
3754,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),05,0.3716836028772108,0.3054762252171228
3755,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),06,0.31431040173331126,0.26029849902903346
3756,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),07,0.3843672413529946,0.34237376002588854
3757,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),08,0.37002302711832624,0.335153986091969
3758,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),09,0.3192845953685708,0.29671551092739024
3759,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),10,0.3390700754449305,0.31814249825594165
3760,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),11,0.387676530014583,0.3346641310183232
3761,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),12,0.2926663448114712,0.26095467167189074
3762,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),13,0.35508879324635195,0.30284611880041334
3763,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),14,0.38674952956166386,0.32467800579826545
3764,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),15,0.42224311688500243,0.36030779951911124
3765,10,fasttree_genetrees_800_non,False,wLogDate+Concat(RAxML),16,0.3427390109426372,0.31914462894444584
