,Taxon,Node Type,l1,l2,l1/l2,Topology
1602,  ,internal,0.163,0.183,0.890710383,ASTRAL
1603,  ,internal,0.173,0.254,0.681102362,ASTRAL
1604,  ,internal,0.077,0.06,1.283333333,ASTRAL
1605,  ,internal,0.137,0.063,2.174603175,ASTRAL
1606,  ,internal,0.177,0.232,0.762931034,ASTRAL
1607,  ,internal,0.185,0.271,0.682656827,ASTRAL
1608,  ,internal,0.221,0.339,0.651917404,ASTRAL
1609,  ,internal,0.024,0.222,0.108108108,ASTRAL
1610,  ,internal,0.186,0.229,0.812227074,ASTRAL
1611,  ,internal,0.241,0.352,0.684659091,ASTRAL
1612,  ,internal,0.251,0.627,0.400318979,ASTRAL
1613,  ,internal,0.055,0.075,0.733333333,ASTRAL
1614,  ,internal,0.14,0.292,0.479452055,ASTRAL
1615,  ,internal,0.189,0.339,0.557522124,ASTRAL
1616,  ,internal,0.032,0.204,0.156862745,ASTRAL
1617,  ,internal,0.213,0.399,0.533834586,ASTRAL
1618,  ,internal,0.128,0.228,0.561403509,ASTRAL
1619,  ,internal,0.152,0.238,0.638655462,ASTRAL
1620,  ,internal,0.02,0.191,0.104712042,ASTRAL
1621,  ,internal,0.018,0.093,0.193548387,ASTRAL
1622,  ,internal,0.056,0.117,0.478632479,ASTRAL
1623,  ,internal,0.081,0.151,0.536423841,ASTRAL
1624,  ,internal,0.121,0.193,0.626943005,ASTRAL
1625,  ,internal,0.159,0.255,0.623529412,ASTRAL
1626,  ,internal,0.179,0.275,0.650909091,ASTRAL
1627,  ,internal,0.21,0.33,0.636363636,ASTRAL
1628,  ,internal,0.223,0.467,0.47751606,ASTRAL
1629,  ,internal,0.24,0.515,0.466019417,ASTRAL
1630,  ,internal,0.259,0.733,0.353342428,ASTRAL
1631,  ,internal,0.283,0.857,0.330221704,ASTRAL
1632,  ,internal,0.35,0.958,0.365344468,ASTRAL
1633,  ,internal,0.375,1.367,0.274323336,ASTRAL
1634,  ,internal,0.401,1.732,0.231524249,ASTRAL
1635,  ,internal,0.411,1.821,0.225700165,ASTRAL
1636,  ,internal,0.42,1.908,0.220125786,ASTRAL
1637,  ,internal,0.441,1.977,0.22306525,ASTRAL
1638,  ,internal,0.468,2.077,0.225324988,ASTRAL
1639,  ,internal,0.5,2.093,0.238891543,ASTRAL
1640,  ,internal,0.511,2.153,0.237343242,ASTRAL
1641,  ,internal,0.565,2.161,0.261453031,ASTRAL
