,Taxon,Branch Type,l1,l2,l1/l2,Method
82,Motacilla alba,terminal,20.44409,20.565976,0.994073415,TreePL
83,  ,internal,0.992285,0.907193,1.09379702,TreePL
84,Passer domesticus,terminal,18.355722,18.115875,1.013239603,TreePL
85,Hypocryptadius cinnamomeus,terminal,18.355722,18.115875,1.013239603,TreePL
86,  ,internal,3.080653,3.357293,0.917600281,TreePL
87,  ,internal,1.444409,1.226958,1.177227745,TreePL
88,Prunella fulvescens,terminal,7.940717,9.40986,0.84387196,TreePL
89,Prunella himalayana,terminal,7.940717,9.40986,0.84387196,TreePL
90,  ,internal,14.940068,13.290267,1.124136031,TreePL
91,  ,internal,0.588867,0.564403,1.043344915,TreePL
92,Vidua chalybeata,terminal,1.744347,3.655419,0.477194817,TreePL
93,Vidua macroura,terminal,1.744347,3.655419,0.477194817,TreePL
94,  ,internal,15.35242,13.793536,1.113015546,TreePL
95,Lonchura striata,terminal,11.641124,10.118782,1.150447159,TreePL
96,Taeniopygia guttata,terminal,11.641124,10.118782,1.150447159,TreePL
97,  ,internal,5.455643,7.330172,0.744272167,TreePL
98,  ,internal,3.082333,2.814226,1.095268468,TreePL
99,Ploceus nigricollis,terminal,20.1791,20.26318,0.995850602,TreePL
100,  ,internal,2.811941,2.222779,1.26505649,TreePL
101,Urocynchramus pylzowi,terminal,22.991041,22.485959,1.022462106,TreePL
102,  ,internal,0.478611,0.77857,0.614730853,TreePL
103,  ,internal,1.076628,0.94231,1.142541202,TreePL
104,Peucedramus taeniatus,terminal,24.546279,24.20684,1.014022442,TreePL
105,  ,internal,1.174164,0.959505,1.22371848,TreePL
106,Irena cyanogastra,terminal,25.720443,25.166345,1.02201742,TreePL
107,  ,internal,0.381876,0.260926,1.463541387,TreePL
108,Chloropsis cyanopogon,terminal,9.888639,11.206316,0.882416577,TreePL
109,Chloropsis hardwickii,terminal,9.888639,11.206316,0.882416577,TreePL
110,  ,internal,16.21368,14.220955,1.140125962,TreePL
111,  ,internal,0.667895,0.617555,1.081515007,TreePL
112,Dicaeum eximium,terminal,21.25293,20.259457,1.049037494,TreePL
113,Leptocoma aspasia,terminal,21.25293,20.259457,1.049037494,TreePL
114,  ,internal,5.517285,5.785368,0.953661893,TreePL
115,  ,internal,0.683409,0.63312,1.07943044,TreePL
116,Promerops cafer,terminal,27.453624,26.677945,1.029075665,TreePL
117,  ,internal,0.860373,0.875428,0.982802698,TreePL
118,Oenanthe oenanthe,terminal,8.417692,8.487401,0.991786767,TreePL
119,Saxicola maurus,terminal,8.417692,8.487401,0.991786767,TreePL
120,  ,internal,4.738001,4.609413,1.027896828,TreePL
121,Ficedula albicollis,terminal,13.155693,13.096814,1.004495674,TreePL
122,  ,internal,1.439011,1.588131,0.906103464,TreePL
123,Erithacus rubecula,terminal,14.594703,14.684945,0.993854795,TreePL
