taxa	code	order	family	clade_mag7 	number_mag7	color_mag7	color_mag7_hex
Onychorhynchus_coronatus	ONYCOR	Passeriformes	Onychorhynchidae	Telluraves	1	green	#32A287
Opisthocomus_hoazin	OPIHOA	Opisthocomiformes	Opisthocomidae	Opisthocomiformes	9	grey	#F9C74F
Oreocharis_arfaki	OREARF	Passeriformes	Paramythiidae	Telluraves	1	green	#32A287
Oreotrochilus_melanogaster	OREMEL	Strisores	Trochilidae	Strisores	8	brown	#C4D6B0
Origma_solitaria	ORISOL	Passeriformes	Acanthizidae	Telluraves	1	green	#32A287
Oriolus_oriolus	ORIORI	Passeriformes	Oriolidae	Telluraves	1	green	#32A287
Orthonyx_spaldingii	ORTSPA	Passeriformes	Orthonychidae	Telluraves	1	green	#32A287
Oxylabes_madagascariensis	OXYMAD	Passeriformes	Bernieridae	Telluraves	1	green	#32A287
Oxyruncus_cristatus	OXYCRI	Passeriformes	Oxyruncidae	Telluraves	1	green	#32A287
Pachycephala_philippinensis	PACPHI	Passeriformes	Pachycephalidae	Telluraves	1	green	#32A287
Pachyramphus_minor	PACMIN	Passeriformes	Tityridae	Telluraves	1	green	#32A287
Pandion_haliaetus	PANHAL	Accipitriformes	Pandionidae	Telluraves	1	green	#32A287
Panurus_biarmicus	PANBIA	Passeriformes	Panuridae	Telluraves	1	green	#32A287
Paradisaea_raggiana	PARRAG	Passeriformes	Paradisaeidae	Telluraves	1	green	#32A287
Pardalotus_punctatus	PARPUN	Passeriformes	Pardalotidae	Telluraves	1	green	#32A287
Parus_major	PARMAJ	Passeriformes	Paridae	Telluraves	1	green	#32A287
Passer_domesticus	PASDOM	Passeriformes	Passeridae	Telluraves	1	green	#32A287
Passerina_amoena	PASAMO	Passeriformes	Cardinalidae	Telluraves	1	green	#32A287
Patagioenas_fasciata	PATFAS	Columbiformes	Columbidae	Columbimorphae	6	purple	#F3722C
Pedionomus_torquatus	PEDTOR	Charadriiformes	Pedionomidae	Cursorimorphae	4	yellow	#E4D6A0
Pelecanoides_urinatrix	PELURI	Procellariiformes	Procellariidae	Aequornithes	2	darkblue	#1F7A8C
Pelecanus_crispus	PELCRI	Pelecaniformes	Pelecanidae	Aequornithes	2	darkblue	#1F7A8C
Penelope_pileata	PENPIL	Galliformes	Cracidae	Galloanseres	NA	black	#7D0D14
Peucedramus_taeniatus	PEUTAE	Passeriformes	Peucedramidae	Telluraves	1	green	#32A287
Phaethon_lepturus	PHALEP	Phaethontiformes	Phaethontidae	Phaethontimorphae	3	lightblue	#5C6F83
Phaetusa_simplex	PHASIM	Charadriiformes	Laridae	Cursorimorphae	4	yellow	#E4D6A0
Phainopepla_nitens	PHANIT	Passeriformes	Ptiliogonatidae	Telluraves	1	green	#32A287
Phalacrocorax_auritus	NANAUR	Pelecaniformes	Phalacrocoracidae	Aequornithes	2	darkblue	#1F7A8C
Phalacrocorax_brasilianus	NANBRA	Pelecaniformes	Phalacrocoracidae	Aequornithes	2	darkblue	#1F7A8C
Phalacrocorax_carbo	PHACAR	Pelecaniformes	Phalacrocoracidae	Aequornithes	2	darkblue	#1F7A8C
Phalacrocorax_harrisi	NANHAR	Pelecaniformes	Phalacrocoracidae	Aequornithes	2	darkblue	#1F7A8C
Phalacrocorax_pelagicus	URIPEL	Pelecaniformes	Phalacrocoracidae	Aequornithes	2	darkblue	#1F7A8C
Phasianus_colchicus	PHACOL	Galliformes	Phasianidae	Galloanseres	NA	black	#7D0D14
Pheucticus_melanocephalus	PHEMEL	Passeriformes	Cardinalidae	Telluraves	1	green	#32A287
Phoenicopterus_ruber	PHORUB	Phoenicopteriformes	Phoenicopteridae	Mirandornithes	7	pink	#F94144
Phylloscopus_trochilus	PHYTRO	Passeriformes	Phylloscopidae	Telluraves	1	green	#32A287
Piaya_cayana	PIACAY	Cuculiformes	Cuculidae	Otidimorphae	4	red	#F8961E
Picathartes_gymnocephalus	PICGYM	Passeriformes	Eupetidae	Telluraves	1	green	#32A287
Picoides_pubescens	PICPUB	Piciformes	Picidae	Telluraves	1	green	#32A287
Piprites_chloris	PIPCHL	Passeriformes	Pipritidae	Telluraves	1	green	#32A287
Pitta_sordida	PITSOR	Passeriformes	Pittidae	Telluraves	1	green	#32A287
Ploceus_nigricollis	PLONIG	Passeriformes	Ploceidae	Telluraves	1	green	#32A287
Pluvianellus_socialis	PLUSOC	Charadriiformes	Chionidae	Cursorimorphae	4	yellow	#E4D6A0
Podargus_strigoides	PODSTR	Strisores	Podargidae	Strisores	8	brown	#C4D6B0
Podiceps_cristatus	PODCRI	Podicipediformes	Podicipedidae	Mirandornithes	7	pink	#F94144
Podilymbus_podiceps	PODPOD	Podicipediformes	Podicipedidae	Mirandornithes	7	pink	#F94144
Poecile_atricapillus	POEATR	Passeriformes	Paridae	Telluraves	1	green	#32A287
Polioptila_caerulea	POLCAE	Passeriformes	Polioptilidae	Telluraves	1	green	#32A287
Pomatorhinus_ruficollis	PORRUF	Passeriformes	Timaliidae	Telluraves	1	green	#32A287
Pomatostomus_ruficeps	POSRUF	Passeriformes	Pomatostomidae	Telluraves	1	green	#32A287
