,Taxon,Node Type,l1,l2,l1/l2,Method
6,  ,internal,3.136,3.348,0.936678614,wLogDate
7,  ,internal,7.46,7.46,1,wLogDate
8,  ,internal,30.449,30.6,0.995065359,wLogDate
9,  ,internal,22.74,22.74,1,wLogDate
10,  ,internal,60.944,55.986,1.088557854,wLogDate
11,  ,internal,0.372,0.778,0.4781491,wLogDate
12,  ,internal,0.72,1.006,0.715705765,wLogDate
13,  ,internal,1.501,2.459,0.610410736,wLogDate
14,  ,internal,27.82,27.82,1,wLogDate
15,  ,internal,35.602,56.262,0.632789449,wLogDate
16,  ,internal,62.464,57.095,1.094036255,wLogDate
17,  ,internal,69.8,64.653,1.079609608,wLogDate
18,  ,internal,3.047,3.52,0.865625,wLogDate
19,  ,internal,3.784,4.405,0.859023837,wLogDate
20,  ,internal,3,4.025,0.745341615,wLogDate
21,  ,internal,10.126,10.123,1.000296355,wLogDate
22,  ,internal,4.09,4.407,0.928068981,wLogDate
23,  ,internal,6.803,7.154,0.950936539,wLogDate
24,  ,internal,8.827,9.165,0.963120567,wLogDate
25,  ,internal,11.37,11.37,1,wLogDate
26,  ,internal,8.193,8.146,1.005769703,wLogDate
27,  ,internal,8.42,8.722,0.965374914,wLogDate
28,  ,internal,8.326,9.113,0.913639855,wLogDate
29,  ,internal,9.392,9.875,0.951088608,wLogDate
30,  ,internal,11.231,11.388,0.986213558,wLogDate
31,  ,internal,13.061,13.165,0.992100266,wLogDate
32,  ,internal,13.047,12.848,1.015488792,wLogDate
33,  ,internal,13.658,13.769,0.991938412,wLogDate
34,  ,internal,14.397,14.479,0.994336625,wLogDate
35,  ,internal,1.471,1.846,0.796858072,wLogDate
36,  ,internal,5.519,6.041,0.913590465,wLogDate
37,  ,internal,1.156,1.968,0.587398374,wLogDate
38,  ,internal,10.101,10.254,0.985078994,wLogDate
39,  ,internal,16.191,16.527,0.979669632,wLogDate
40,  ,internal,17.541,17.762,0.987557707,wLogDate
41,  ,internal,15.703,15.695,1.000509716,wLogDate
42,  ,internal,18.515,18.719,0.989101982,wLogDate
43,  ,internal,6.888,8.211,0.83887468,wLogDate
44,  ,internal,19.876,19.982,0.994695226,wLogDate
45,  ,internal,1.484,3.11,0.477170418,wLogDate
46,  ,internal,9.959,8.632,1.153730306,wLogDate
47,  ,internal,14.903,15.12,0.985648148,wLogDate
48,  ,internal,17.745,17.869,0.993060608,wLogDate
49,  ,internal,20.107,19.892,1.010808365,wLogDate
50,  ,internal,20.523,20.629,0.994861603,wLogDate
51,  ,internal,21.582,21.661,0.996352892,wLogDate
52,  ,internal,22.733,22.707,1.001145021,wLogDate
53,  ,internal,8.754,10.013,0.874263458,wLogDate
54,  ,internal,23.216,23.061,1.006721304,wLogDate
55,  ,internal,19.046,18.489,1.030126021,wLogDate
56,  ,internal,24.001,23.832,1.007091306,wLogDate
57,  ,internal,24.806,24.633,1.007023099,wLogDate
58,  ,internal,7.145,7.162,0.997626361,wLogDate
59,  ,internal,11.237,11.188,1.004379693,wLogDate
60,  ,internal,12.586,12.713,0.990010226,wLogDate
61,  ,internal,10.181,9.59,1.061626694,wLogDate
62,  ,internal,15.453,15.547,0.993953817,wLogDate
63,  ,internal,19.154,19.27,0.99398028,wLogDate
64,  ,internal,20.863,20.562,1.014638654,wLogDate
65,  ,internal,5.303,5.423,0.977872027,wLogDate
66,  ,internal,13.654,13.934,0.979905268,wLogDate
67,  ,internal,14.725,14.875,0.989915966,wLogDate
68,  ,internal,15.664,15.495,1.010906744,wLogDate
69,  ,internal,21.118,21.172,0.997449462,wLogDate
70,  ,internal,24.412,24.47,0.997629751,wLogDate
71,  ,internal,15.791,15.687,1.006629693,wLogDate
72,  ,internal,0.023,3.176,0.007241814,wLogDate
73,  ,internal,20.92,21.145,0.989359187,wLogDate
74,  ,internal,22.378,22.605,0.989957974,wLogDate
75,  ,internal,23.161,23.137,1.0010373,wLogDate
76,  ,internal,25.21,25.21,1,wLogDate
77,  ,internal,25.365,25.366,0.999960577,wLogDate
78,  ,internal,18.267,16.218,1.126341102,wLogDate
79,  ,internal,25.426,25.483,0.997763215,wLogDate
80,  ,internal,25.764,25.661,1.004013873,wLogDate
81,  ,internal,1.774,2.629,0.674781286,wLogDate
82,  ,internal,6.436,7.402,0.869494731,wLogDate
83,  ,internal,13.994,15.518,0.901791468,wLogDate
84,  ,internal,15.22,16.843,0.903639494,wLogDate
85,  ,internal,16.374,17.829,0.918391385,wLogDate
86,  ,internal,9.598,7.583,1.265725966,wLogDate
87,  ,internal,14.855,16.514,0.899539784,wLogDate
88,  ,internal,17.646,18.893,0.933996718,wLogDate
89,  ,internal,12.073,12.448,0.969874679,wLogDate
90,  ,internal,20.463,21.183,0.96601048,wLogDate
91,  ,internal,11.444,11.735,0.975202386,wLogDate
92,  ,internal,16.603,17.491,0.949231033,wLogDate
93,  ,internal,18.195,19.028,0.956222409,wLogDate
94,  ,internal,18.938,19.683,0.962150079,wLogDate
95,  ,internal,11.261,10.394,1.083413508,wLogDate
96,  ,internal,19.883,20.343,0.977387799,wLogDate
97,  ,internal,21.446,21.922,0.978286653,wLogDate
98,  ,internal,21.78,22.194,0.98134631,wLogDate
99,  ,internal,18.764,18.762,1.000106598,wLogDate
100,  ,internal,19.31,19.618,0.984300133,wLogDate
101,  ,internal,10.67,9.408,1.134141156,wLogDate
102,  ,internal,21.761,21.954,0.991208891,wLogDate
103,  ,internal,22.224,22.463,0.989360281,wLogDate
104,  ,internal,22.449,22.706,0.988681406,wLogDate
105,  ,internal,23.205,23.243,0.998365099,wLogDate
106,  ,internal,23.988,23.849,1.005828337,wLogDate
107,  ,internal,22.22,21.923,1.013547416,wLogDate
108,  ,internal,24.288,24.146,1.005880891,wLogDate
109,  ,internal,6.232,6.155,1.012510154,wLogDate
110,  ,internal,8.677,8.759,0.990638201,wLogDate
111,  ,internal,22.105,22.099,1.000271505,wLogDate
112,  ,internal,25.575,25.453,1.004793148,wLogDate
113,  ,internal,26.042,25.845,1.007622364,wLogDate
114,  ,internal,18.356,17.978,1.021025698,wLogDate
115,  ,internal,26.145,26.023,1.00468816,wLogDate
116,  ,internal,27.251,26.982,1.009969609,wLogDate
117,  ,internal,24.923,24.522,1.016352663,wLogDate
118,  ,internal,27.655,27.233,1.015495906,wLogDate
119,  ,internal,27.925,27.565,1.01306004,wLogDate
120,  ,internal,28.223,27.792,1.01550806,wLogDate
121,  ,internal,14.924,14.746,1.01207107,wLogDate
122,  ,internal,17.827,18.083,0.985843057,wLogDate
123,  ,internal,20.891,21.253,0.982967111,wLogDate
124,  ,internal,20.37,20.791,0.979750854,wLogDate
125,  ,internal,21.585,21.918,0.984807008,wLogDate
